place_name,place_id,place_lat,place_lng,place_type
Inove Cabelo e Corpo,d5ce72c1860db1f1f95729eabe71fffd1efd7276,-9.643258699999999,-35.7048431,beauty_salon
Salão Rosa Cabeleireira,17cb6d0e0a060f53c538fcf792a6856452170914,-9.6423968,-35.7019262,beauty_salon
Soraya Toledo Estética e Bem-Estar,8f1e01fac207cda324261b4516e6c1663b208956,-9.643147899999997,-35.705845,beauty_salon
Espaco da Beleza Carol Maria,c167bbd6b9decb422da22db22b42201355c8725b,-9.638673899999999,-35.7039172,beauty_salon
Studio Cris Oliveira,14e313b666a4937e9d28ec82c0fefb3411eb24ff,-9.64275,-35.70134,beauty_salon
Estúdio Zen Maceió - Massoterapia e Terapia Holística,402ef9c157c2669a7454ecb85d16e9f61e96fe25,-9.6445018,-35.70435090000001,beauty_salon
Studio Paula Sobral,56c8013c523225769037359773c63aae8dcbbb2d,-9.644328999999999,-35.70291,beauty_salon
Casa da Beleza,99ef1562e55250cc5fdf77228680256c2e61cdb2,-9.6433441,-35.7012674,beauty_salon
Nutri Hair,53e3ed6df6f73b91c758daa3eb919339fb96ec1e,-9.641432600000002,-35.7005275,beauty_salon
Innovant Beauty,055228c37591b9649907cf726467dbbba78b412a,-9.6382075,-35.7021726,beauty_salon
Cabeça Feita,292a4065581d26d08a93aef940caf9c4b0a8306b,-9.6433501,-35.7010713,beauty_salon
Claudia Gama Espaco de Beleza,df27287426177ff06565785435982d709e8d8860,-9.642583999999998,-35.70768839999999,beauty_salon
Martha Cabelo e Corpo,a3593cbbbf791bb33f1d74542db573a95aec0d1f,-9.6386266,-35.7013402,beauty_salon
Salão Blue,d684fb822ddbe6b6a123bf92ea1fed5be810f9fb,-9.645004700000001,-35.7029492,beauty_salon
Adriana Ferro Cabelos,f453a2e23fcc30d7e392cd18f3e152f825c0a4e7,-9.645006400000002,-35.70572869999999,beauty_salon
Indra Omena Cabelos,bd48640919e3d80b1a5a5d8bfbee55a0c8c608e6,-9.637857300000002,-35.701916,beauty_salon
Ney Silva Cabelos,cf8c2522432178920a799a412ea452253a52710f,-9.642908499999999,-35.7080093,beauty_salon
Erika Cabelos,41b6c819bb2537d95a4293412205ba50ac5e6f10,-9.637414199999998,-35.702516,beauty_salon
Creuza Cabeleireiros,158314c89e762146d2bc661fd48bc5f285450070,-9.6444817,-35.7069338,beauty_salon
Fórum - Estúdio de Beleza,3f24285beb02b12fa8ca19cc717f5bc9f475434b,-9.637393999999999,-35.7018274,beauty_salon
Claudio Cabeleireiros,aa66e4c962b10a37955a36a2a5d039fc0a131c2e,-9.6437774,-35.7080601,beauty_salon
Studio junior adelmo,2ab787559bc6a44d6887b4184f35d6a8ff2669a3,-9.642740000000002,-35.708741,beauty_salon
LaBelle - Sara Silva (Estética Facial e Corporal),db82dafa00d86fb43ac7923fad3470d3529628a2,-9.6377142,-35.7009487,beauty_salon
Espaço 21 Cabeleireiros,3c63d77bdf72bbd1349cd168aba48151f50a6210,-9.6461949,-35.7052348,beauty_salon
Barbara luanda unhas e cia,2b06213aeadd4347aeb5f8b1884596755a3a10d5,-9.6372617,-35.70061099999999,beauty_salon
Belezaria Hair Care,0c9d22990b101023615d5524e6aecf8cb0af8b16,-9.6365541,-35.7016288,beauty_salon
Salão Stylo Design,4e7851aa4405c69006eb6ab8cff6bc7c26022d0f,-9.644388000000001,-35.7088987,beauty_salon
Salão Unissex,0da185b3aff2082362c744057d6a126060d8467e,-9.635519700000001,-35.702962,beauty_salon
Espaço Edjane santos,80edcb796e6194721d53158418740dc9960b5947,-9.6354135,-35.703162,beauty_salon
Donnajuba_,8f69fb3f4bdffebbf55aa63a5ecc68f8980d9ebc,-9.6456012,-35.7088138,beauty_salon
Taciana Moura Nails,3e9ad6206843be4e6b254a843ad175710251cd48,-9.643536200000002,-35.7101871,beauty_salon
IRES - Instituto de Reabilitação e Estética,0f4984204dccc064fd565767cf7790cc0e404a0c,-9.6460131,-35.7087327,beauty_salon
Zen Terapias,612b00d1d657b14ec57d3b600dba4171e87ae1da,-9.647318999999998,-35.7011289,beauty_salon
Ariadiny gs cabelos,c57191ab193ba091a5973e4a62e9cb1cbbb1425c,-9.636390100000002,-35.6994515,beauty_salon
Oficina das Unhas,0b18df709bb2598158e0cf1a542273ad55757e1b,-9.637153,-35.698594,beauty_salon
Salão Luciana Lima,845c8bec3c0c6c0e1537d1048ee388ce87f3bf89,-9.6479387,-35.7060268,beauty_salon
Espaço Mulher,becacf00fa66ce10f6a3ad802156f3eb6ca2ea90,-9.635925799999999,-35.6996896,beauty_salon
Studio Karol Paes,c80ba151d245dc3d51c35eba8a4d7eae1b65a436,-9.648161100000001,-35.70220620000001,beauty_salon
Salão Abençoado,d49f51ae98473a6325e9182d7ae301c3ee301036,-9.6386845,-35.7113348,beauty_salon
Thel Cabelos,d8faefc7139e73286b1f842ad230658d8c371fdd,-9.638668,-35.71171459999999,beauty_salon
Salão Raio de Luz,397e8cc1303284af61d04900a343e3b1e46b6117,-9.6350187,-35.709302,beauty_salon
Cobrão Bike,834e71bb1389aede01833c002ec8f5357d875327,-9.638749299999999,-35.7014204,bicycle_store
COBERTA DE FLOR - Casa de Chá & Eventos,b5d8667c48ea702bc412cdc3b9b5d27d289115e4,-9.643486,-35.710514,cafe
Rei do Mate,1d085b2e2d3babb677a24b63a3c54df8f1f41a5a,-9.648555699999998,-35.70524109999999,cafe
Shake Mania João Davino,1eff2e99c6ffcf1ebc6019ffd5fb8613f0badb5c,-9.641620099999999,-35.7026206,cafe
Evs das Estrelas,860ce172917b59471fea4916aecb5a120704bc9f,-9.642583999999998,-35.70768839999999,cafe
Doceria Irmãs Lima,2458006aef65064de221480406bd93fbd580b8dd,-9.642997,-35.7082189,cafe
Lá em Casa,fd35b971e5261441bf2da8b8868645018b9e3ec0,-9.642686999999999,-35.709593,cafe
Duckbill Maceió,3859a6ce949fba8133ab5c92ceb2cbc804fa64fc,-9.645542699999998,-35.7001157,cafe
Sarah's Café,6a1c799052682002b1900b53756a68ee3642e39a,-9.6343676,-35.7037683,cafe
Rei do Mate - Stella Maris,90dcc7cc6840ec21e86c2f0386db6b39833c08ef,-9.648500799999997,-35.7052774,cafe
Encontre Sua Viagem Hotelaria Aluguel de Veículos Passagem Aérea & Passagem Rodoviária,9efe06a6548e1a89ef7b387f5fc8b05ddbcf6e6c,-9.6422879,-35.7035777,car_rental
Simões Rent' a Car,6a7aa58875408db15556416df695b5d2e45bd60b,-9.6432661,-35.7053414,car_rental
BRASCAR,c731f64e113d85e98670508cae1cd84869c579fd,-9.643385799999999,-35.709079,car_rental
Click Rent A Car,11e1b90a590997b1a21536403bc5100da18469c3,-9.648997399999999,-35.70462759999999,car_rental
Locadora marcao,172b3a716f1527ca9465c657ad25556f1925f361,-9.6430046,-35.7029089,car_rental
Maceio Locadora de veículos,ca4a363c1a06e012cbe37e6e408172af7b67c9d7,-9.6431013,-35.7009655,car_rental
Sportcar Locadora,e2ac884bf0013e4885ed3521443a0e6af69ab131,-9.643386999999999,-35.70912630000001,car_rental
Alugue Brasil,c1b0c9c114dc3be47b9cc77d37ab761eff1b8f51,-9.645084899999997,-35.7081789,car_rental
Nordeste Rentals,93ca0606418e3678fc03fa05d1bbc091b0a640e4,-9.6391162,-35.6988253,car_rental
R Amorim Locadora de Veículos,2ba80eb882637b195587af9b94efc718fe0d6498,-9.645171999999997,-35.70999299999999,car_rental
Good rental price,94f007b751b3d652dc71ee208db426d363542b10,-9.6486351,-35.70511570000001,car_rental
Top Som Acessórios Automotivos e Película Controle Solar Automotiva e Residencial,7acd72e9f799502d3125719f9dafa2b498f061c2,-9.6427594,-35.7094312,car_repair
Importadora Pneus,35eb8c85a20c92db83747c4549933e9575586f1c,-9.645348199999999,-35.70621879999999,car_repair
Chevrolet Mangabeiras,901f236be8dfaf3237843cc39bed9a264c76ba12,-9.6422825,-35.708961,car_repair
Auto Som,f42397d00c47337f2573f6f3d58e22fac3dc2687,-9.6353813,-35.7027531,car_repair
BOX ADVENTURE,b8d806546fb07e0de46b4a245bcee1318012283e,-9.6427531,-35.70935240000001,car_repair
O ESPECIALISTA,c4933400b3a85cbb0f902b45e922238ef5a4088b,-9.6348716,-35.7036814,car_repair
VARGA Serviços,7789e692d1b6216e62c20b269164a03d387ac6a4,-9.6469063,-35.70485770000001,car_repair
TOP SOM ACESSORIOS AUTOMOTIVOS,98fa1cea311504cc1bab6a7968a16a219ed68e04,-9.642739899999999,-35.709878,car_repair
